,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-11-16,3400.0,3420.0,3250.0,3280.0,2348.823974609375,37420000,3320.0,3298.0
2000-11-17,3180.0,3230.0,3150.0,3220.0,2305.858154296875,36225000,3296.6666666666665,3266.0
2000-11-20,3160.0,3210.0,3100.0,3100.0,2219.925048828125,26795000,3200.0,3256.0
2000-11-21,3080.0,3170.0,2970.0,3160.0,2262.89111328125,51620000,3160.0,3230.0
2000-11-22,3100.0,3220.0,3080.0,3140.0,2248.5693359375,37710000,3133.3333333333335,3180.0
2000-11-23,3140.0,3260.0,3140.0,3210.0,2298.6962890625,44645000,3170.0,3166.0
2000-11-24,3310.0,3400.0,3270.0,3400.0,2434.756103515625,45530000,3250.0,3202.0
2000-11-27,3600.0,3800.0,3570.0,3780.0,2706.876220703125,100220000,3463.3333333333335,3338.0
2000-11-28,3650.0,3650.0,3500.0,3520.0,2520.6884765625,59770000,3566.6666666666665,3410.0
2000-11-29,3300.0,3350.0,3200.0,3220.0,2305.858154296875,54300000,3506.6666666666665,3426.0
2000-11-30,3220.0,3290.0,3150.0,3240.0,2320.179931640625,63315000,3326.6666666666665,3432.0
2000-12-01,3080.0,3220.0,3040.0,3180.0,2277.21435546875,96425000,3213.3333333333335,3388.0
2000-12-04,3220.0,3250.0,3080.0,3100.0,2219.925048828125,51875000,3173.3333333333335,3252.0
2000-12-05,3160.0,3250.0,3120.0,3240.0,2320.179931640625,58400000,3173.3333333333335,3196.0
2000-12-06,3410.0,3430.0,3210.0,3210.0,2298.6962890625,95890000,3183.3333333333335,3194.0
2000-12-07,3210.0,3260.0,3160.0,3260.0,2334.501708984375,43020000,3236.6666666666665,3198.0
2000-12-08,3260.0,3390.0,3260.0,3370.0,2413.273681640625,47575000,3280.0,3236.0
2000-12-11,3480.0,3630.0,3480.0,3580.0,2563.655029296875,70575000,3403.3333333333335,3332.0
2000-12-12,3580.0,3650.0,3500.0,3500.0,2506.3671875,73745000,3483.3333333333335,3384.0
2000-12-13,3500.0,3780.0,3500.0,3780.0,2706.876220703125,84140000,3620.0,3498.0
2000-12-14,3620.0,3680.0,3560.0,3620.0,2592.299560546875,66965000,3633.3333333333335,3570.0
2000-12-15,3620.0,3640.0,3480.0,3490.0,2499.205810546875,52960000,3630.0,3594.0
